ABW,LCN,Aruba,HIC,35563.3125,103187,88132.0167
AFG,SAS,Afghanistan,LIC,2057.062256,34656032,5628525.37
AGO,SSF,Angola,LMC,8036.69043,25096150,4213643.585
ALB,ECS,Albania,UMC,13724.05859,2854191,1087446.75
AND,ECS,Andorra,HIC,43711.80078,82431,43000
ARE,MEA,United Arab Emirates,HIC,67119.13281,9770529,5617682
ARG,LCN,Argentina,HIC,23550.09961,42981516,17910550
ARM,ECS,Armenia,UMC,11019.83887,2906220,492800
ASM,EAS,American Samoa,UMC,11113.44238,55599,18989.49
ATG,LCN,Antigua and Barbuda,HIC,17965.50195,96777,30585
AUS,EAS,Australia,HIC,47784.17969,23789338,13345000
AUT,ECS,Austria,HIC,56029.61328,8877067,5219715.5
AZE,ECS,Azerbaijan,UMC,14853.91016,9649341,2930349
BDI,SSF,Burundi,LIC,839.7785034,6741569,1872016
BEL,ECS,Belgium,HIC,51914.91406,11484055,4765883
BEN,SSF,Benin,LIC,2227.352295,5521763,685936.01
BFA,SSF,Burkina Faso,LIC,1925.331177,18110624,2575251.11
BGD,SAS,Bangladesh,LMC,3195.737061,155727056,14778497.33
BGR,ECS,Bulgaria,UMC,22279.36133,7025037,2859190
BHR,MEA,Bahrain,HIC,47937.77734,1425171,951942.9695
BHS,LCN,"Bahamas, The",HIC,35400.08203,386838,264000
BIH,ECS,Bosnia and Herzegovina,UMC,12671.00781,3535961,1248718
BLR,ECS,Belarus,UMC,18307.51953,9489616,4280000
BLZ,LCN,Belize,UMC,7259.024414,359288,101378.8303
BMU,NAC,Bermuda,HIC,80982.36719,64798,82000
BOL,LCN,Bolivia,LMC,7984.413574,10724705,2219052
BRA,LCN,Brazil,UMC,14596.24609,208494896,79069584
BRB,LCN,Barbados,HIC,15444.74609,280601,174815.4444
BRN,EAS,Brunei Darussalam,HIC,60865.98828,423196,216253.156
BTN,SAS,Bhutan,LMC,6743.016113,686958,111314.05
BWA,SSF,Botswana,UMC,14126.38965,2014866,210854.4426
CAF,SSF,Central African Republic,LIC,822.6104736,4515392,1105983
CAN,NAC,Canada,HIC,47672.07813,35544564,25103034
CHE,ECS,Switzerland,HIC,68394.28906,8574832,6079556
CHI,ECS,Channel Islands,HIC,46672.59375,164541,178933
CHL,LCN,Chile,HIC,20361.71484,16829442,6517000
CHN,EAS,China,UMC,16092.30078,1400050048,395081376
CIV,SSF,Côte d’Ivoire,LMC,3660.902832,20401332,4440814.27
CMR,SSF,Cameroon,LMC,3262.763672,21655716,3270616.59
COD,SSF,"Congo, Dem. Rep.",LIC,1055.572998,78736152,14385226.02
COG,SSF,"Congo, Rep.",LMC,4899.57959,2648507,451200
COL,LCN,Colombia,UMC,12523.00684,46406648,12150120
COM,SSF,Comoros,LIC,2959.540039,777424,91013
CPV,SSF,Cabo Verde,LMC,6353.783203,513979,132555
CRI,LCN,Costa Rica,UMC,18168.71484,4757575,1460000
CUB,LCN,Cuba,UMC,12984.71094,11303687,2692691.98
CUW,LCN,Curacao,HIC,27503.78906,153822,24703.8132
CYM,LCN,Cayman Islands,HIC,66207.44531,59172,60000
